pgs_id,reported_trait,category
PGS005048,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005049,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005050,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005051,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005052,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005053,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005054,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005055,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005056,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005057,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005058,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS005059,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
PGS001261,Angina pectoris (time-to-event),Cardiovascular & Cholesterol
PGS001267,Ankylosing spondylitis,Immune & Autoimmune
PGS001876,Ankylosing spondylitis,Immune & Autoimmune
PGS002089,Ankylosing spondylitis,Immune & Autoimmune
PGS003420,Ankylosing spondylitis,Immune & Autoimmune
PGS003421,Ankylosing spondylitis,Immune & Autoimmune
PGS003422,Ankylosing spondylitis,Immune & Autoimmune
PGS003423,Ankylosing spondylitis,Immune & Autoimmune
PGS003424,Ankylosing spondylitis,Immune & Autoimmune
PGS019671,Ankylosing spondylitis,Immune & Autoimmune
PGS019672,Ankylosing spondylitis,Immune & Autoimmune
PGS019673,Ankylosing spondylitis,Immune & Autoimmune
PGS019674,Ankylosing spondylitis,Immune & Autoimmune
PGS019675,Ankylosing spondylitis,Immune & Autoimmune
PGS019676,Ankylosing spondylitis,Immune & Autoimmune
PGS001268,Ankylosing spondylitis (time-to-event),Immune & Autoimmune
PGS000353,Any cancer,Cancer
PGS000354,Any cancer,Cancer
PGS000355,Any cancer,Cancer
PGS000356,Any cancer,Cancer
PGS005252,Aortic stenosis,Cardiovascular & Cholesterol
PGS005254,Aortic stenosis,Cardiovascular & Cholesterol
PGS001888,Apolipoprotein A,Cardiovascular & Cholesterol
PGS002101,Apolipoprotein A,Cardiovascular & Cholesterol
PGS003491,Apolipoprotein A,Cardiovascular & Cholesterol
PGS000671,Apolipoprotein A [g/L],Cardiovascular & Cholesterol
PGS001889,Apolipoprotein B,Cardiovascular & Cholesterol
PGS002102,Apolipoprotein B,Cardiovascular & Cholesterol
PGS003492,Apolipoprotein B,Cardiovascular & Cholesterol
PGS000672,Apolipoprotein B [g/L] (statin adjusted),Cardiovascular & Cholesterol
PGS001853,Appendiceal conditions,Digestive & Liver Health
PGS002064,Appendiceal conditions,Digestive & Liver Health
PGS004876,Appendicitis,Digestive & Liver Health
PGS019200,Arrhythmia cardiac NOS,Cardiovascular & Cholesterol
PGS019201,Arrhythmia cardiac NOS,Cardiovascular & Cholesterol
PGS019202,Arrhythmia cardiac NOS,Cardiovascular & Cholesterol
PGS019203,Arrhythmia cardiac NOS,Cardiovascular & Cholesterol
PGS019204,Arrhythmia cardiac NOS,Cardiovascular & Cholesterol
