pgs_id,reported_trait,category
PGS005260,Thyroid carcenoma,Metabolic & Endocrine
PGS005258,Thyroid carcenoma,Metabolic & Endocrine
PGS005259,Thyroid carcenoma,Metabolic & Endocrine
PGS001042,Thyrotoxicosis [hyperthyroidism] (time-to-event),Metabolic & Endocrine
PGS004937,Triglycerides,Blood Panel
PGS004172,Type 1 diabetes,Metabolic & Endocrine
PGS004173,Type 1 diabetes,Metabolic & Endocrine
PGS004174,Type 1 diabetes,Metabolic & Endocrine
PGS004175,Type 1 diabetes,Metabolic & Endocrine
PGS004171,Type 1 diabetes,Metabolic & Endocrine
PGS000023,Type 1 diabetes (T1D),Metabolic & Endocrine
PGS000021,Type 1 diabetes (T1D),Metabolic & Endocrine
PGS003749,Type 1 diabetes (T1D),Metabolic & Endocrine
PGS004102,Type 1 diabetes (T1D),Metabolic & Endocrine
PGS004020,Type 1 diabetes (T1D),Metabolic & Endocrine
PGS004093,Type 1 diabetes (T1D),Metabolic & Endocrine
PGS000022,Type 1 diabetes (T1D),Metabolic & Endocrine
